Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
,19-X5232712,Person,Lents,1/1/2019,0615,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5232715,Person,Montavilla,1/1/2019,0540,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5232741,Person,Glenfair,1/1/2019,0052,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5232744,Person,Glenfair,1/1/2019,0407,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5232745,Person,Eliot,1/1/2019,0336,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5232749,Person,Cully,1/1/2019,0235,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5232750,Person,Parkrose,1/1/2019,0428,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5232756,Person,Sullivan's Gulch,1/1/2019,0148,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5232758,Person,Portsmouth,1/1/2019,0630,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5232764,Person,Arbor Lodge,1/1/2019,1219,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5232772,Person,Centennial,1/1/2019,0351,Assault Offenses,Aggravated Assault,,,,,1/1/2019,1
,19-X5232918,Person,Mt Scott-Arleta,1/1/2019,0151,Assault Offenses,Simple Assault,,,,,1/1/2019,3
,19-X5233087,Person,Hazelwood,1/1/2019,2028,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5233090,Person,Powellhurst-Gilbert,1/1/2019,2045,Assault Offenses,Simple Assault,,,,,1/1/2019,1
,19-X5233196,Person,Brooklyn,1/1/2019,0200,Assault Offenses,Simple Assault,,,,,1/1/2019,2
,19-X5233239,Person,Brentwood-Darlington,1/1/2019,2326,Assault Offenses,Intimidation,,,,,1/1/2019,1
,19-X5233315,Person,Overlook,1/2/2019,1410,Assault Offenses,Simple Assault,,,,,1/2/2019,1
,19-X5233446,Person,Lents,1/2/2019,1952,Assault Offenses,Simple Assault,,,,,1/2/2019,1
,19-X5233497,Person,Northwest,1/2/2019,1437,Assault Offenses,Simple Assault,,,,,1/2/2019,1
,19-X5233505,Person,Powellhurst-Gilbert,1/2/2019,1611,Assault Offenses,Simple Assault,,,,,1/2/2019,1
,19-X5233513,Person,Lents,1/2/2019,1824,Assault Offenses,Simple Assault,,,,,1/2/2019,1
,19-X5233520,Person,Goose Hollow,1/3/2019,0051,Assault Offenses,Simple Assault,,,,,1/3/2019,1
,19-X5233672,Person,Cully,2/22/2018,1311,Sex Offenses,Sodomy,,,,,1/3/2019,1
