state,year,year_index,ipc_crimes,sll_crimes,total_crimes,growth_rate,avg_3yr_ipc,ipc_sll_ratio
Andhra Pradesh,2003,0,156951,463272,620223,0.0,156951.0,0.33878801222607885
Andhra Pradesh,2004,1,158756,452858,611614,0.011500404584870437,158756.0,0.3505646361552628
Andhra Pradesh,2005,2,157123,509090,666213,-0.010286225402504472,157610.0,0.30863501541967037
Andhra Pradesh,2006,3,173909,602146,776055,0.10683349986952896,163262.66666666666,0.28881533714414775
Andhra Pradesh,2007,4,175087,711946,887033,0.0067736574875365855,168706.33333333334,0.24592735965930002
Andhra Pradesh,2008,5,179275,246829,426104,0.023919537144391073,176090.33333333334,0.726312548363442
Andhra Pradesh,2009,6,180441,470125,650566,0.006503974341096081,178267.66666666666,0.3838149428343526
Andhra Pradesh,2010,7,181438,628558,809996,0.005525351777035153,180384.66666666666,0.28865753041087694
Andhra Pradesh,2011,8,189780,262024,451804,0.04597713819596777,183886.33333333334,0.7242847983390834
Andhra Pradesh,2012,9,192522,55235,247757,0.014448308567815366,187913.33333333334,3.4855073775685708
Andhra Pradesh,2013,10,218015,47690,265705,0.13241603556996084,200105.66666666666,4.571503459844831
Andhra Pradesh,2014,11,114604,25278,139882,-0.4743297479531225,175047.0,4.533744758287839
Andhra Pradesh,2015,12,110693,15755,126448,-0.03412620850930159,147770.66666666666,7.025896540780704
Andhra Pradesh,2016,13,106774,22615,129389,-0.03540422610282493,110690.33333333333,4.72137961529958
Andhra Pradesh,2017,14,132336,15666,148002,0.2394028508813007,116601.0,8.4473381846036
Andhra Pradesh,2018,15,126635,18068,144703,-0.04307973642848507,121915.0,7.00880008855435
Andhra Pradesh,2019,16,119229,26522,145751,-0.05848304181308485,126066.66666666667,4.495475454339793
Andhra Pradesh,2020,17,188997,49108,238105,0.585159650756108,144953.66666666666,3.8485990062718907
Arunachal Pradesh,2003,0,2061,50,2111,0.0,2061.0,41.22
Arunachal Pradesh,2004,1,2256,101,2357,0.09461426491994178,2256.0,22.336633663366335
Arunachal Pradesh,2005,2,2304,73,2377,0.02127659574468085,2207.0,31.561643835616437
Arunachal Pradesh,2006,3,2294,69,2363,-0.004340277777777778,2284.6666666666665,33.2463768115942
Arunachal Pradesh,2007,4,2286,56,2342,-0.0034873583260680036,2294.6666666666665,40.82142857142857
Arunachal Pradesh,2008,5,2374,70,2444,0.03849518810148731,2318.0,33.91428571428571
Arunachal Pradesh,2009,6,2362,132,2494,-0.005054759898904802,2340.6666666666665,17.893939393939394
Arunachal Pradesh,2010,7,2439,113,2552,0.03259949195596952,2391.6666666666665,21.58407079646018
Arunachal Pradesh,2011,8,2286,69,2355,-0.06273062730627306,2362.3333333333335,33.130434782608695
Arunachal Pradesh,2012,9,2420,84,2504,0.05861767279090114,2381.6666666666665,28.80952380952381
Arunachal Pradesh,2013,10,2776,142,2918,0.14710743801652892,2494.0,19.549295774647888
Arunachal Pradesh,2014,11,2843,195,3038,0.024135446685878963,2679.6666666666665,14.57948717948718
Arunachal Pradesh,2015,12,2968,181,3149,0.04396763981709462,2862.3333333333335,16.39779005524862
Arunachal Pradesh,2016,13,2534,166,2700,-0.14622641509433962,2781.6666666666665,15.265060240963855
Arunachal Pradesh,2017,14,2565,181,2746,0.0122336227308603,2689.0,14.171270718232044
Arunachal Pradesh,2018,15,2613,204,2817,0.01871345029239766,2570.6666666666665,12.808823529411764
Arunachal Pradesh,2019,16,2590,287,2877,-0.008802143130501339,2589.3333333333335,9.024390243902438
Arunachal Pradesh,2020,17,2244,259,2503,-0.1335907335907336,2482.3333333333335,8.664092664092664
Assam,2003,0,38195,1633,39828,0.0,38195.0,23.38946723821188
Assam,2004,1,40675,2987,43662,0.06492996465505957,40675.0,13.61734181452963
Assam,2005,2,42006,2067,44073,0.03272280270436386,40292.0,20.322206095791003
Assam,2006,3,43673,3323,46996,0.039684806932343,42118.0,13.142642190791454
Assam,2007,4,45282,3831,49113,0.03684198475030339,43653.666666666664,11.819890368050118
Assam,2008,5,53333,2307,55640,0.17779691709730136,47429.333333333336,23.11790203727785
Assam,2009,6,55313,1973,57286,0.037125232032700205,51309.333333333336,28.03497212366954
Assam,2010,7,61668,1825,63493,0.11489161679894419,56771.333333333336,33.79068493150685
Assam,2011,8,66714,1608,68322,0.08182525783226309,61231.666666666664,41.48880597014925
Assam,2012,9,77682,1974,79656,0.16440327367569027,68688.0,39.35258358662614
Assam,2013,10,87186,2386,89572,0.12234494477485132,77194.0,36.5406538139145
Assam,2014,11,94337,3064,97401,0.0820200490904503,86401.66666666667,30.78883812010444
Assam,2015,12,103616,3849,107465,0.09836013441173665,95046.33333333333,26.92023902312289
Assam,2016,13,102250,4764,107014,-0.013183292155651637,100067.66666666667,21.46305625524769
Assam,2017,14,104324,5628,109952,0.020283618581907092,103396.66666666667,18.536602700781806
Assam,2018,15,112233,8340,120573,0.07581189371573176,106269.0,13.457194244604317
Assam,2019,16,123512,9271,132783,0.10049628897026722,113356.33333333333,13.32240319275159
Assam,2020,17,111558,10051,121609,-0.09678411814236673,115767.66666666667,11.099194110038802
Bihar,2003,0,92263,7940,100203,0.0,92263.0,11.620025188916877
Bihar,2004,1,108060,9213,117273,0.17121706426194683,108060.0,11.729078476066428
Bihar,2005,2,97850,9814,107664,-0.09448454562280215,99391.0,9.970450377012432
Bihar,2006,3,100665,9159,109824,0.028768523249872252,102191.66666666667,10.990828693088766
Bihar,2007,4,109420,9479,118899,0.08697163860328813,102645.0,11.543411752294546
Bihar,2008,5,122669,9876,132545,0.1210838969109852,110918.0,12.420919400567032
Bihar,2009,6,122931,10594,133525,0.0021358289380365046,118340.0,11.603832357938456
Bihar,2010,7,127453,10119,137572,0.03678486305325752,124351.0,12.595414566656784
Bihar,2011,8,135896,11737,147633,0.06624402721003037,128760.0,11.57842719604669
Bihar,2012,9,146614,13657,160271,0.07886913522105139,136654.33333333334,10.73544702350443
Bihar,2013,10,167455,17506,184961,0.14214877160434883,149988.33333333334,9.565577516280133
Bihar,2014,11,177595,17445,195040,0.06055358155922486,163888.0,10.180280882774435
